NSC,Log10HiConc,ConcUnit,Flag,Log10IC50,NumExp,StdDev                           
2761,-3.7,M,>,-3.7,2,0                                                          
2765,-3.3,M,>,-3.32,2,0                                                         
2771,-3.7,M,>,-3.7,2,0                                                          
2775,-5.7,M,=,-5.95,2,.01                                                       
2775,-3.7,M,=,-6.49,2,.08                                                       
2788,-3.7,M,>,-4.05,2,.5                                                        
2798,-3.7,M,>,-3.7,2,0                                                          
2801,-3.7,M,>,-3.7,3,0                                                          
2833,-3.7,M,>,-3.7,2,0                                                          
2858,-2.7,M,>,-2.67,2,0                                                         
2917,-3.7,M,>,-3.7,2,0                                                          
2918,-3.7,M,>,-3.7,2,0                                                          
2963,-3.7,M,>,-3.9,3,.35                                                        
2964,-4,M,>,-4,4,0                                                              
2965,-3.7,M,=,-4.5,4,.02                                                        
2966,-3.7,M,=,-4.5,4,.03                                                        
2968,-3.7,M,=,-4.35,4,.13                                                       
2969,-3.7,M,=,-4.42,4,.06                                                       
2972,-3.7,M,=,-3.9,4,.03                                                        
2978,-3.7,M,=,-3.85,4,.05                                                       
2979,-3.7,M,=,-4.38,4,.05                                                       
2982,-3.7,M,=,-5.07,4,.11                                                       
3051,-3.7,M,>,-3.7,2,0                                                          
3053,-8.5,M,=,-9.76,1,0                                                         
3053,-6.5,M,<,-10.02,2,0                                                        
3055,-3.7,M,=,-6.93,1,0                                                         
3061,-6,M,=,-7.43,4,.07                                                         
3062,-3.7,M,=,-5.84,2,0                                                         
3067,-3.7,M,>,-3.7,2,0                                                          
3069,-3.7,M,>,-3.7,1,0                                                          
3077,-8,M,>,-8.37,4,.43                                                         
3077,-6,M,=,-8.89,2,.03                                                         
3086,-3.7,M,>,-3.7,1,0                                                          
3088,-3.7,M,=,-4.83,2,.03                                                       
3097,-3.7,M,=,-5.05,3,.13                                                       
3098,-3.7,M,=,-4.12,2,.08                                                       
3110,-4.1,M,>,-4.15,2,0                                                         
3124,-4.7,M,=,-5.41,2,.06                                                       
3124,-3.7,M,=,-5.84,2,.11                                                       
3140,-3,M,=,-4.18,1,0                                                           
3141,-3.7,M,>,-3.7,1,0                                                          
3184,-3.7,M,=,-5.08,2,.04                                                       
3208,-3.7,M,=,-4.95,2,.09                                                       
3225,-2.6,M,>,-2.64,1,0                                                         
3235,-3.7,M,>,-3.7,1,0                                                          
3255,-3.7,M,>,-3.7,2,0                                                          
3264,-3.7,M,=,-4.62,1,0                                                         
3286,-3.7,M,=,-5.73,1,0                                                         
3319,-3.7,M,=,-3.99,2,.03                                                       
3348,-3.7,M,=,-4.15,2,.14                                                       
3360,-4.5,M,>,-4.5,1,0                                                          
3364,-3.7,M,>,-3.7,2,0                                                          
3389,-3.7,M,=,-4.27,1,0                                                         
3415,-3.7,M,=,-4.25,2,.21                                                       
3416,-3.7,M,=,-4.95,1,0                                                         
3417,-3.7,M,=,-4.58,1,0                                                         
3420,-3.7,M,=,-5.05,2,.03                                                       
3422,-3.7,M,=,-5.05,2,.15                                                       
3427,-3.3,M,=,-3.6,2,.12                                                        
3428,-3.3,M,=,-3.99,2,.2                                                        
3429,-3.5,M,=,-3.62,2,.08                                                       
3430,-3.9,M,>,-3.87,2,0                                                         
3469,-3.7,M,>,-3.91,2,.29                                                       
3590,-3.7,M,>,-3.7,2,0                                                          
3598,-3.7,M,=,-5.43,1,0                                                         
3609,-3.7,M,>,-3.7,2,0                                                          
3690,-3,M,>,-2.96,2,0                                                           
