NSC,Log10HiConc,ConcUnit,Flag,Log10IC50,NumExp,StdDev                           
36022,-3.7,M,=,-4.2,2,.24                                                       
36025,-3.7,M,>,-3.7,1,0                                                         
36147,-3.1,M,>,-3.06,2,0                                                        
36179,-3,M,=,-3.26,2,.06                                                        
36257,-3.7,M,=,-3.97,2,.01                                                      
36283,-2.8,M,>,-2.79,2,0                                                        
36295,-3.7,M,=,-4.46,2,.01                                                      
36295,-2.8,M,=,-4.61,2,.05                                                      
36329,-3.7,M,>,-3.7,2,0                                                         
36330,-3.7,M,>,-3.7,2,0                                                         
36354,-6.7,M,=,-7.91,2,.16                                                      
36366,-3.2,M,=,-4.19,2,.02                                                      
36388,-3.7,M,>,-3.7,1,0                                                         
36398,-3.7,M,>,-3.77,2,.1                                                       
36418,-3.2,M,>,-3.21,2,0                                                        
36419,-5.2,M,>,-5.19,2,0                                                        
36424,-3.5,M,>,-3.52,2,0                                                        
36586,-3.7,M,=,-5.25,2,.03                                                      
36603,-2.8,M,>,-2.76,2,0                                                        
36766,-3.7,M,>,-3.7,1,0                                                         
36790,-3.2,M,>,-3.25,1,0                                                        
36921,-4.1,M,>,-4.08,2,0                                                        
37031,-3.7,M,=,-4.03,4,.01                                                      
37043,-3.3,M,>,-3.26,3,0                                                        
37072,-3.7,M,>,-3.7,1,0                                                         
37078,-3.7,M,>,-3.7,4,0                                                         
37095,-3.7,M,>,-3.7,2,0                                                         
37096,-3.7,M,>,-3.7,2,0                                                         
37239,-3.7,M,>,-3.7,2,0                                                         
37240,-3.7,M,>,-3.7,1,0                                                         
37248,-4,M,=,-5.79,1,0                                                          
37279,-3.7,M,>,-3.7,2,0                                                         
37308,-3.7,M,=,-4.79,2,.02                                                      
37310,-3.7,M,>,-3.75,2,.07                                                      
37335,-3.7,M,=,-4.01,2,.02                                                      
37418,-3.7,M,>,-3.7,2,0                                                         
37456,-3.7,M,=,-4.5,2,.01                                                       
37458,-3.7,M,=,-5.11,2,.12                                                      
37463,-3.7,M,=,-5.02,1,0                                                        
37491,-3.9,M,>,-3.87,6,0                                                        
37554,-6,M,>,-6.03,2,0                                                          
37588,-3.7,M,>,-3.7,3,0                                                         
37601,-3.7,M,=,-4.53,5,.07                                                      
37687,-3.7,M,=,-6.02,2,.01                                                      
37725,-3.7,M,=,-4.51,1,0                                                        
37752,-3,M,>,-2.96,4,0                                                          
37858,-4.1,M,=,-5.4,2,0                                                         
37903,-3.1,M,>,-3.15,2,0                                                        
37917,-3.7,M,>,-3.7,1,0                                                         
38068,-3.7,M,=,-5.02,1,0                                                        
38069,-3.7,M,>,-3.7,5,0                                                         
38070,-5.7,M,=,-5.87,2,.05                                                      
38070,-3.7,M,=,-6.55,2,.02                                                      
38071,-3.7,M,>,-3.7,7,0                                                         
38073,-3.7,M,=,-4.57,1,0                                                        
38074,-3.7,M,=,-4.17,1,0                                                        
38084,-3.7,M,>,-3.7,2,0                                                         
38091,-3,M,>,-2.96,1,0                                                          
38205,-3.7,M,=,-4.65,2,.18                                                      
38207,-3.7,M,=,-5.7,2,.11                                                       
38208,-3.7,M,=,-4.55,2,.14                                                      
38209,-3.7,M,=,-4.15,2,.17                                                      
38214,-3.7,M,=,-4.34,2,.11                                                      
38218,-3.7,M,>,-3.7,2,0                                                         
38219,-3.7,M,=,-4.14,2,.19                                                      
38231,-3.7,M,>,-3.7,2,0                                                         
38232,-3.7,M,>,-3.7,2,0                                                         
38233,-3.7,M,=,-4.44,1,0                                                        
38239,-3.7,M,>,-3.7,1,0                                                         
38248,-3.7,M,>,-3.7,1,0                                                         
38250,-3.7,M,>,-3.7,1,0                                                         
38252,-3.7,M,>,-3.7,2,0                                                         
38253,-3.7,M,>,-3.7,2,0                                                         
38254,-3.7,M,>,-3.7,2,0                                                         
38255,-3.7,M,>,-3.7,2,0                                                         
38256,-3.7,M,>,-3.7,2,0                                                         
38270,-6.7,M,=,-7.97,2,.04                                                      
38270,-3.7,M,<,-7.2,2,0                                                         
38295,-4,M,>,-4.1,2,.11                                                         
38347,-3.1,M,>,-3.12,2,0                                                        
38354,-3.1,M,=,-3.66,2,0                                                        
38358,-3.7,M,>,-3.7,2,0                                                         
38360,-3.7,M,=,-5.03,2,.07                                                      
38369,-3.7,M,>,-3.7,1,0                                                         
38397,-3.7,M,=,-4.91,2,.14                                                      
38407,-3.7,M,>,-3.7,1,0                                                         
38414,-3.7,M,>,-3.7,2,0                                                         
38419,-3.7,M,=,-3.92,2,.11                                                      
38442,-3.7,M,>,-3.83,2,.19                                                      
38468,-3.7,M,=,-4.57,2,.18                                                      
38572,-3.7,M,>,-3.7,2,0                                                         
38674,-3.7,M,>,-3.7,1,0                                                         
38709,-3.3,M,>,-3.34,2,0                                                        
38714,-4.2,M,=,-4.46,2,.01                                                      
38714,-3.7,M,=,-4.79,6,.13                                                      
38721,-3.7,M,=,-4.21,2,.01                                                      
38741,-3.7,M,>,-3.7,2,0                                                         
38887,-3.7,M,=,-5.47,2,.11                                                      
39027,-3.7,M,>,-3.71,2,0                                                        
39064,-4,M,>,-4.01,2,0                                                          
39084,-3.7,M,=,-4.97,2,.02                                                      
39132,-5.7,M,=,-5.9,1,0                                                         
39132,-3.7,M,=,-6,1,0                                                           
39252,-3.7,M,>,-3.7,1,0                                                         
39266,-3.7,M,>,-3.7,2,0                                                         
39340,-2.9,M,>,-2.91,1,0                                                        
39362,-3.2,M,=,-3.58,2,.08                                                      
39363,-4,M,=,-4.14,2,0                                                          
39482,-4.2,M,>,-4.22,1,0                                                        
39483,-4.6,M,>,-4.62,1,0                                                        
39553,-3.7,M,=,-4.57,2,.15                                                      
39554,-3.7,M,=,-4.44,2,.09                                                      
39556,-3.7,M,=,-3.95,2,0                                                        
39565,-3.7,M,>,-3.7,2,0                                                         
39568,-3.7,M,>,-3.7,2,0                                                         
39573,-3.7,M,>,-3.7,2,0                                                         
39620,-4.7,M,=,-5.02,1,0                                                        
39620,-3.7,M,=,-5.08,2,.05                                                      
39621,-4.7,M,=,-5.37,2,.06                                                      
39621,-3.9,M,=,-5.03,2,.02                                                      
39621,-3.7,M,=,-5.47,1,0                                                        
39632,-3.7,M,=,-4.46,1,0                                                        
39633,-3.7,M,=,-4.71,4,.19                                                      
39690,-3.7,M,=,-3.99,6,.04                                                      
39772,-3.7,M,>,-3.7,2,0                                                         
39851,-3.7,M,=,-4.73,2,.23                                                      
39858,-3.7,M,=,-3.95,2,.01                                                      
39873,-4.8,M,=,-5.07,2,.11                                                      
39877,-5.2,M,>,-5.17,2,0                                                        
39881,-4,M,>,-4,1,0                                                             
39890,-4.3,M,>,-4.27,2,0                                                        
39912,-4.8,M,>,-4.81,2,0                                                        
39946,-5.1,M,>,-5.08,2,0                                                        
39973,-3.7,M,>,-3.7,2,0                                                         
40021,-3.7,M,>,-3.7,1,0                                                         
40033,-3.7,M,=,-4.32,2,.04                                                      
40045,-3.7,M,=,-4.26,2,.24                                                      
40086,-3.7,M,>,-3.7,2,0                                                         
40094,-3.7,M,>,-3.7,2,0                                                         
40101,-3.7,M,=,-4.02,2,.07                                                      
40116,-3.7,M,>,-3.7,2,0                                                         
40144,-3.7,M,>,-3.7,2,0                                                         
40213,-3.7,M,>,-3.7,2,0                                                         
40215,-3.7,M,>,-3.7,2,0                                                         
40216,-3.7,M,>,-3.7,2,0                                                         
40217,-3.7,M,>,-3.7,2,0                                                         
40218,-3.7,M,>,-3.7,2,0                                                         
40219,-3.7,M,>,-3.7,2,0                                                         
40252,-3.7,M,>,-3.7,2,0                                                         
40261,-3.7,M,=,-3.84,2,0                                                        
40262,-3.7,M,=,-5.06,2,.04                                                      
40264,-3.7,M,=,-5.99,1,0                                                        
40265,-3.7,M,=,-4.59,1,0                                                        
40328,-3.7,M,=,-5.28,4,.09                                                      
40341,-5.1,M,=,-5.88,2,.03                                                      
40450,-2.9,M,=,-3.1,1,0                                                         
40467,-3.7,M,>,-3.7,3,0                                                         
40480,-4.3,M,=,-5.14,2,0                                                        
40484,-3.9,M,=,-5.03,2,.02                                                      
40596,-3.7,M,>,-3.7,2,0                                                         
40597,-3.7,M,>,-3.7,2,0                                                         
40665,-3.7,M,=,-6.51,2,.02                                                      
40725,-3.7,M,>,-3.7,2,0                                                         
40765,-3.7,M,=,-4.45,2,.01                                                      
40768,-3.7,M,>,-3.7,2,0                                                         
40769,-3.7,M,>,-3.7,2,0                                                         
40850,-3.1,M,>,-3.05,2,0                                                        
41355,-3.7,M,>,-3.7,2,0                                                         
41356,-3.7,M,>,-3.7,2,0                                                         
41357,-3.7,M,>,-3.7,2,0                                                         
41358,-3.7,M,>,-3.7,2,0                                                         
41365,-2.9,M,=,-3.61,2,.02                                                      
41465,-3.7,M,>,-3.7,2,0                                                         
41474,-3.7,M,=,-4.43,2,.09                                                      
41489,-3.7,M,=,-3.85,2,.15                                                      
41497,-4,M,>,-4,2,0                                                             
41503,-3.7,M,=,-4.25,2,.2                                                       
41518,-3.7,M,=,-4.48,2,.07                                                      
41519,-3.7,M,=,-5.38,2,.1                                                       
41521,-4.3,M,>,-4.3,2,0                                                         
41554,-3.7,M,>,-3.73,2,.04                                                      
41805,-3.5,M,>,-3.5,1,0                                                         
41806,-3.3,M,>,-3.28,1,0                                                        
41834,-3.7,M,>,-3.7,2,0                                                         
41837,-3.5,M,=,-4.87,2,.11                                                      
42030,-3.3,M,>,-3.29,2,0                                                        
42044,-3.7,M,=,-4.95,2,0                                                        
42075,-3.7,M,>,-3.7,2,0                                                         
42080,-3.4,M,>,-3.42,2,0                                                        
42102,-3.5,M,>,-3.85,2,.27                                                      
42110,-5.5,M,>,-5.47,2,0                                                        
42172,-3.7,M,=,-5.2,1,0                                                         
42231,-3.7,M,>,-3.7,2,0                                                         
42443,2,u,>,1.97,2,0                                                            
42462,-3.7,M,=,-4.01,2,.03                                                      
42470,-3.7,M,=,-6.02,2,.01                                                      
42491,-3.7,M,>,-3.73,2,0                                                        
42600,-3.7,M,>,-3.7,2,0                                                         
42680,-3.7,M,=,-4.27,1,0                                                        
42684,-3.7,M,=,-3.97,1,0                                                        
42900,-3.8,M,>,-3.82,2,0                                                        
42903,-3.2,M,=,-4.44,1,0                                                        
43026,-3.7,M,>,-3.7,2,0                                                         
43030,-3.7,M,>,-3.7,2,0                                                         
43032,-3.7,M,>,-3.7,2,0                                                         
43046,-3.7,M,>,-3.7,2,0                                                         
43051,-3.7,M,=,-4.91,2,.02                                                      
43054,-3.7,M,>,-3.7,2,0                                                         
43055,-3.7,M,>,-3.7,2,0                                                         
43058,-3.7,M,=,-3.78,1,0                                                        
43059,-3.7,M,=,-4.01,7,.06                                                      
43066,-3.7,M,>,-3.7,2,0                                                         
43067,-3.7,M,=,-4.97,1,0                                                        
43070,-3.7,M,>,-3.7,1,0                                                         
43071,-4.8,M,>,-4.84,1,0                                                        
43072,-4,M,>,-4,1,0                                                             
43077,-3.7,M,=,-5,1,0                                                           
43078,-3.7,M,=,-4.21,6,.14                                                      
43079,-3.7,M,=,-3.95,3,.18                                                      
43080,-4,M,=,-6.09,1,0                                                          
43082,-3.7,M,=,-5.01,1,0                                                        
43090,-3.7,M,=,-4.44,1,0                                                        
43094,-3.7,M,=,-4.98,1,0                                                        
43095,-5.7,M,=,-6.97,2,.09                                                      
43095,-3.7,M,<,-7.2,1,0                                                         
43096,-3.7,M,=,-4.63,1,0                                                        
43099,-3.7,M,=,-3.96,1,0                                                        
43135,-3.7,M,>,-3.7,2,0                                                         
43183,-3.7,M,>,-3.7,2,0                                                         
43285,-2.8,M,=,-2.99,2,.11                                                      
43318,-3.7,M,=,-4.26,2,.23                                                      
43325,-3.2,M,>,-3.19,4,0                                                        
43330,-4.2,M,=,-4.73,2,.37                                                      
43331,-3.2,M,=,-4.11,1,0                                                        
43395,-3.5,M,=,-4.87,2,.07                                                      
43397,-3.9,M,=,-4.17,2,.02                                                      
43531,-4.5,M,>,-4.46,3,0                                                        
43560,-3.3,M,=,-3.36,2,.03                                                      
43567,-3.1,M,=,-3.86,2,.01                                                      
43570,-3.7,M,=,-5.18,2,.04                                                      
43629,-3.7,M,>,-3.7,2,0                                                         
43630,-3.7,M,>,-3.7,2,0                                                         
43634,-3,M,>,-2.99,1,0                                                          
43673,-4,M,>,-4.03,2,.02                                                        
43798,-3.7,M,>,-3.7,2,0                                                         
43870,-3.1,M,>,-3.07,2,0                                                        
43871,-2.8,M,>,-2.75,1,0                                                        
43889,-3.6,M,>,-3.6,2,.04                                                       
43891,-5.2,M,>,-5.23,2,0                                                        
44040,-4.2,M,>,-4.25,2,0                                                        
44175,-4.1,M,=,-4.36,2,.01                                                      
44176,-3.7,M,=,-4.69,2,.25                                                      
44181,-3.7,M,=,-4.45,2,.05                                                      
44184,-3.7,M,>,-3.72,4,.03                                                      
44184,-3.3,M,>,-3.3,4,0                                                         
44185,-6.7,M,=,-7.56,2,.05                                                      
44185,-3.7,M,<,-7.2,2,0                                                         
44210,-3.7,M,>,-3.7,2,0                                                         
44211,-3.7,M,>,-3.7,1,0                                                         
44212,-3.7,M,>,-3.7,1,0                                                         
44215,-3.7,M,=,-4.56,2,.04                                                      
44216,-3.7,M,>,-3.7,2,0                                                         
44217,-3.7,M,=,-4.72,2,.32                                                      
44218,-3.7,M,>,-3.7,2,0                                                         
44220,-3.7,M,=,-4.19,2,.13                                                      
44224,-3.7,M,>,-3.7,2,0                                                         
44226,-3.7,M,>,-3.7,2,0                                                         
44230,-4,M,=,-5.35,2,.01                                                        
44237,-3.7,M,=,-4,2,.07                                                         
44600,-3.2,M,>,-3.21,2,0                                                        
44627,-3.1,M,>,-3.12,2,0                                                        
44646,-4.9,M,>,-4.9,1,0                                                         
44652,-3.7,M,=,-4.06,2,.01                                                      
44670,-4.4,M,=,-4.57,2,.04                                                      
44675,-2.8,M,=,-3.64,2,.15                                                      
44690,-3.3,M,<,-6.8,2,0                                                         
45108,-3.7,M,=,-3.97,2,.02                                                      
45109,-3.7,M,>,-3.7,2,0                                                         
45164,-3.7,M,=,-4.57,1,0                                                        
45168,-3.7,M,=,-4.2,2,.02                                                       
45197,-3.7,M,>,-3.7,4,0                                                         
45198,-3.7,M,>,-3.7,6,0                                                         
45211,-4,M,>,-4,2,0                                                             
45383,-5.3,M,<,-8.72,2,.12                                                      
45383,-3.3,M,<,-6.8,2,0                                                         
45384,-5,M,=,-5.78,2,.05                                                        
45388,-4.1,M,=,-5.31,2,.01                                                      
45410,-2.4,M,>,-2.75,2,.45                                                      
45463,-3.7,M,>,-3.86,2,.23                                                      
45529,-3.7,M,>,-3.7,2,0                                                         
45545,-3.7,M,>,-3.7,2,0                                                         
45570,-3.7,M,=,-4.44,2,.1                                                       
45572,-3.7,M,>,-3.7,2,0                                                         
45588,-3.7,M,>,-3.7,2,0                                                         
45607,-3.7,M,>,-3.7,1,0                                                         
45608,-4.3,M,>,-4.3,4,0                                                         
45609,-4.3,M,>,-4.3,4,0                                                         
45610,-4,M,=,-4.38,2,.02                                                        
45613,-3.7,M,>,-3.71,4,.03                                                      
45621,-4,M,>,-4,6,0                                                             
45723,-3.9,M,>,-3.94,2,0                                                        
45731,-3.1,M,=,-4.78,1,0                                                        
45762,-4.6,M,>,-4.55,2,0                                                        
45795,-3.6,M,=,-3.85,2,.03                                                      
45796,-3.8,M,=,-5.31,2,.22                                                      
45805,-4,M,=,-4.32,2,.01                                                        
45806,-4.5,M,=,-4.58,2,0                                                        
45823,-3.7,M,=,-4,1,0                                                           
45870,-3.7,M,>,-3.81,2,.15                                                      
45874,-5.3,M,>,-5.29,2,0                                                        
45914,-3.7,M,>,-3.7,2,0                                                         
45922,-4.1,M,=,-4.66,2,.01                                                      
45923,-4.1,M,>,-4.08,2,0                                                        
45956,-3.1,M,>,-3.09,2,0                                                        
46061,-3.7,M,=,-5.36,3,.08                                                      
46077,-3.7,M,>,-3.7,2,0                                                         
46155,-3.9,M,>,-3.88,2,0                                                        
46230,-3.1,M,>,-3.12,2,0                                                        
46503,-3.7,M,=,-4.25,2,.21                                                      
46504,-3.7,M,=,-4.67,2,.27                                                      
46505,-3.7,M,=,-3.99,2,.02                                                      
46613,-3.7,M,>,-3.7,2,0                                                         
46626,-3.2,M,=,-3.44,2,0                                                        
46643,-3.7,M,=,-4.56,2,.01                                                      
46715,-3.7,M,>,-3.7,2,0                                                         
46716,-3.7,M,=,-5.27,2,.12                                                      
46798,-3.7,M,>,-3.7,2,0                                                         
47151,-3.9,M,=,-5.03,2,.05                                                      
47440,-3.9,M,>,-3.91,2,0                                                        
47582,-3.6,M,=,-5.18,2,.23                                                      
47620,-3.6,M,>,-3.61,2,0                                                        
47695,-3.7,M,>,-3.7,1,0                                                         
47702,-4,M,>,-4.29,2,.35                                                        
47708,-3.7,M,=,-4.13,4,.06                                                      
47729,-3.7,M,>,-3.7,4,0                                                         
47730,-3.8,M,>,-3.76,2,0                                                        
47732,-3.7,M,=,-6.92,2,.02                                                      
47732,-3.5,M,<,-6.86,2,.2                                                       
47734,-3.7,M,>,-3.7,4,0                                                         
47735,-4,M,>,-4,4,0                                                             
47737,-4,M,>,-4,4,0                                                             
47740,-4.3,M,>,-4.3,4,0                                                         
47742,-3.7,M,>,-3.7,4,0                                                         
47745,-3.7,M,>,-3.71,4,.01                                                      
47746,-3.7,M,>,-3.7,2,0                                                         
47749,-3.7,M,>,-3.72,4,.02                                                      
47750,-4,M,>,-4,3,0                                                             
47751,-4,M,>,-4,4,0                                                             
47752,-4,M,=,-4.82,4,.07                                                        
47758,-4.3,M,>,-4.3,6,0                                                         
47763,-4,M,>,-4,4,0                                                             
47768,-3.7,M,>,-3.73,4,.05                                                      
47771,-4.6,M,>,-4.61,2,0                                                        
47774,-3.7,M,=,-4.45,2,.09                                                      
47894,-3.7,M,>,-3.7,1,0                                                         
47895,-3.7,M,=,-3.88,1,0                                                        
47989,-3,M,=,-3.42,1,0                                                          
48034,-3.7,M,=,-6.1,1,0                                                         
48121,-4,M,>,-3.99,1,0                                                          
48122,-3.7,M,>,-3.7,2,0                                                         
48799,-3.7,M,>,-3.7,2,0                                                         
48810,-3.5,M,=,-4.77,2,.01                                                      
48911,-2.8,M,>,-2.81,4,0                                                        
48970,-3.7,M,=,-5.49,2,.01                                                      
48972,-3.7,M,>,-3.7,2,0                                                         
48975,-3.7,M,>,-3.7,2,0                                                         
49171,-3.7,M,>,-3.7,1,0                                                         
49348,-3.5,M,>,-3.47,2,0                                                        
49451,-6.7,M,=,-8.02,3,.19                                                      
49451,-3.7,M,<,-7.2,2,0                                                         
49506,-3.7,M,>,-3.7,1,0                                                         
49512,-3.7,M,=,-5.3,2,.05                                                       
49590,-3.7,M,>,-3.7,2,0                                                         
49724,-3.9,M,=,-4.66,2,.03                                                      
49726,-4,M,=,-4.31,2,.07                                                        
49732,-3.9,M,=,-4.67,2,.04                                                      
49733,-4,M,=,-5.2,2,.05                                                         
49842,-7.5,M,=,-9.45,2,.12                                                      
49842,-5.6,M,<,-9.06,2,0                                                        
49842,-3.6,M,<,-7.06,2,0                                                        
49885,-2.9,M,>,-2.9,2,0                                                         
50184,-3.7,M,>,-3.7,1,0                                                         
50185,-3.7,M,=,-4.39,2,.08                                                      
50186,-3.7,M,=,-4.46,2,.06                                                      
50187,-3.7,M,=,-4.01,2,.03                                                      
50311,-3.9,M,>,-3.95,5,.01                                                      
50352,-4.2,M,>,-4.27,2,.1                                                       
50376,-3.7,M,>,-3.7,2,0                                                         
50377,-3.7,M,=,-5.99,2,.06                                                      
50385,-4.3,M,=,-4.48,1,0                                                        
50692,-3.7,M,=,-4.07,2,.11                                                      
50693,-3.7,M,=,-3.98,2,.04                                                      
50694,-3.7,M,>,-3.7,2,0                                                         
50848,-3.7,M,>,-3.75,8,.08                                                      
50849,-3.7,M,>,-3.7,3,0                                                         
50849,-3.3,M,=,-3.36,4,.04                                                      
50850,-3.7,M,>,-3.87,9,.09                                                      
50851,-3.7,M,=,-3.79,2,.01                                                      
50852,-3.7,M,=,-4.3,5,.18                                                       
50853,-3.7,M,=,-4.44,2,.1                                                       
50854,-3.7,M,>,-3.7,10,0                                                        
50854,-3.3,M,>,-3.3,4,0                                                         
50855,-3.7,M,=,-3.98,4,.03                                                      
50855,-3.3,M,=,-3.6,4,.03                                                       
50858,-3.7,M,>,-3.7,4,0                                                         
50860,-3.7,M,=,-4.01,2,.01                                                      
50913,-5.7,M,=,-6,2,.01                                                         
50913,-3.7,M,=,-6.36,2,.04                                                      
50915,-4.7,M,=,-5.96,2,.04                                                      
50915,-3.7,M,=,-5.98,2,.05                                                      
50928,-3.7,M,=,-4.4,2,.02                                                       
50976,-4.3,M,=,-4.57,1,0                                                        
50997,-3.7,M,>,-3.7,3,0                                                         
51001,-3.8,M,=,-5.11,2,.01                                                      
51003,-4.7,M,>,-4.69,2,0                                                        
51024,-3.7,M,=,-4.68,1,0                                                        
51046,-7.2,M,=,-7.96,2,.03                                                      
51046,-5.2,M,=,-8.44,2,.01                                                      
51046,-3.2,M,<,-6.67,2,0                                                        
51057,-4.7,M,>,-4.66,2,0                                                        
51097,-3.7,M,=,-4.53,2,.02                                                      
51143,-2.6,M,=,-3.77,2,.08                                                      
51170,-3.7,M,=,-4.68,2,.15                                                      
51189,-3.7,M,=,-4.49,1,0                                                        
51246,-3.7,M,>,-3.7,2,0                                                         
51325,-3.7,M,>,-3.7,4,0                                                         
51337,-3.7,M,>,-3.7,1,0                                                         
51340,-3.6,M,>,-3.62,2,0                                                        
51341,-4.5,M,>,-4.55,2,0                                                        
51342,-4.5,M,>,-4.46,2,0                                                        
51519,-3.7,M,>,-3.7,2,0                                                         
51535,-4,M,>,-4,2,0                                                             
51637,-3.7,M,=,-3.98,2,.03                                                      
51695,-3.7,M,>,-3.7,2,0                                                         
51697,-3.7,M,>,-3.7,2,0                                                         
51733,-4.2,M,>,-4.2,2,0                                                         
51812,-3.7,M,=,-5.45,2,.11                                                      
51851,-3.2,M,>,-3.22,2,0                                                        
51852,-2.9,M,>,-2.94,2,0                                                        
51853,-4.1,M,>,-4.09,2,0                                                        
51860,-4.2,M,>,-4.18,2,0                                                        
51867,-3.7,M,>,-3.7,2,0                                                         
51871,-3.7,M,>,-3.7,2,0                                                         
51873,-3.7,M,>,-3.7,1,0                                                         
52085,-4.7,M,=,-4.95,4,.03                                                      
52085,-3.7,M,=,-5.92,2,.02                                                      
52121,-4.4,M,>,-4.36,2,0                                                        
52130,-4.2,M,=,-4.51,2,.01                                                      
52131,-5,M,>,-4.95,1,0                                                          
52132,-4.4,M,=,-4.67,2,.03                                                      
52230,-3.8,M,>,-3.82,2,0                                                        
52350,-4.7,M,=,-5.61,2,.04                                                      
52350,-3.7,M,=,-5.86,2,.04                                                      
52524,-3.7,M,>,-3.87,2,.24                                                      
52574,-4.9,M,>,-4.91,2,0                                                        
52588,-3.7,M,>,-3.7,2,0                                                         
52590,-3.7,M,>,-3.7,2,0                                                         
52593,-3.7,M,>,-3.7,2,0                                                         
52594,-4,M,>,-4,2,0                                                             
52602,-3.7,M,>,-3.7,2,0                                                         
52745,-4.1,M,=,-5.44,2,.09                                                      
52947,-4.2,M,=,-7.37,2,.16                                                      
52961,-3.7,M,>,-3.7,4,0                                                         
53040,-3.8,M,>,-3.76,2,0                                                        
53067,-3.7,M,>,-3.7,2,0                                                         
53068,-3.7,M,>,-3.7,2,0                                                         
53183,-3.7,M,=,-5.66,2,.11                                                      
53239,-2.9,M,>,-2.88,2,0                                                        
53358,-3.7,M,>,-3.7,2,0                                                         
53359,-3.7,M,>,-3.7,2,0                                                         
53360,-3.7,M,=,-4.29,2,.07                                                      
53364,-3.7,M,=,-4.66,2,.05                                                      
53376,-3.7,M,>,-3.7,2,0                                                         
53380,-3.8,M,=,-4.82,2,.07                                                      
53387,-3.7,M,=,-3.96,2,0                                                        
53391,-5,M,>,-5.03,2,0                                                          
53396,-6,M,=,-7.08,2,.31                                                        
53396,-5,M,=,-6.87,2,.07                                                        
53396,-4,M,<,-7.18,4,.31                                                        
53398,2.2,u,=,.41,6,.24                                                         
53477,-3.1,M,=,-3.36,2,.02                                                      
53584,-3.1,M,=,-4.24,2,.04                                                      
53720,-3.7,M,>,-3.71,2,0                                                        
53854,-3.8,M,=,-4.31,2,.32                                                      
53864,-5.7,M,>,-6.05,2,.45                                                      
53906,-3.7,M,>,-3.7,4,0                                                         
53907,-3.7,M,=,-4.41,2,.03                                                      
53908,-3.9,M,=,-4.38,2,.07                                                      
53909,-3.9,M,>,-3.96,2,.06                                                      
54059,-3.7,M,=,-5.32,2,.02                                                      
54088,-3.7,M,>,-3.7,2,0                                                         
54128,-2.9,M,>,-2.92,2,0                                                        
54152,-3.6,M,>,-3.56,2,0                                                        
54154,-3.7,M,=,-4.66,4,.21                                                      
54249,-4.8,M,=,-5.01,2,.12                                                      
54256,-3.7,M,>,-3.7,1,0                                                         
54331,-3.7,M,=,-3.83,2,.03                                                      
54402,-3.7,M,=,-4.75,2,.22                                                      
54410,-4,M,>,-4,2,0                                                             
54737,-4,M,=,-4.79,2,.03                                                        
54829,-3.7,M,>,-3.7,2,0                                                         
54833,-3.7,M,=,-4.05,2,.03                                                      
54834,-3.7,M,>,-3.7,2,0                                                         
54839,-3.7,M,>,-3.7,2,0                                                         
54840,-3.7,M,=,-5.53,2,.05                                                      
54841,-4.3,M,=,-4.55,2,.08                                                      
54843,-2.8,M,>,-2.83,2,0                                                        
54846,-4.1,M,=,-4.3,2,.01                                                       
54855,-3.8,M,>,-3.84,2,0                                                        
54882,-3.7,M,=,-4.5,2,.16                                                       
54907,-3.9,M,=,-4.92,2,.04                                                      
54926,-3.7,M,=,-6.18,2,0                                                        
55147,-3.7,M,>,-3.7,1,0                                                         
55150,-4.1,M,=,-4.65,2,.16                                                      
55184,-4.7,M,>,-4.7,1,0                                                         
55196,-3.7,M,=,-4.83,2,.02                                                      
55219,-3.7,M,>,-3.7,2,0                                                         
55226,-3.7,M,>,-3.7,1,0                                                         
55227,-3.7,M,>,-3.7,1,0                                                         
55228,-3.7,M,>,-3.7,2,0                                                         
55229,-3.7,M,>,-3.7,2,0                                                         
55231,-4,M,=,-4.53,2,.04                                                        
55233,-3.5,M,>,-3.5,2,0                                                         
55237,-5.7,M,=,-6.26,2,.01                                                      
55237,-3.7,M,=,-6.6,1,0                                                         
55259,-3.7,M,>,-3.7,1,0                                                         
55273,-3.7,M,>,-3.7,1,0                                                         
55276,-4,M,=,-4.79,2,.33                                                        
55287,-3.7,M,=,-3.98,2,.04                                                      
55289,-3.7,M,=,-4.68,2,.21                                                      
55306,-3.7,M,=,-4.53,2,.02                                                      
55338,-3.7,M,=,-4.25,2,.28                                                      
55358,-3.7,M,=,-3.83,2,.06                                                      
55385,-3.5,M,>,-3.46,1,0                                                        
55437,-3.7,M,=,-4.3,2,.04                                                       
55446,-3.7,M,=,-4.98,2,.04                                                      
55449,-3.7,M,=,-6.24,2,.1                                                       
55456,-3.7,M,>,-3.7,2,0                                                         
55459,-3.7,M,>,-3.7,2,0                                                         
55467,-3.7,M,=,-4.61,2,.1                                                       
55480,-4.4,M,=,-6.17,2,.07                                                      
55496,-3.7,M,>,-3.7,2,0                                                         
55507,-3.7,M,=,-4.91,2,.06                                                      
55508,-3.7,M,>,-3.7,1,0                                                         
55529,-3.7,M,=,-4.92,2,.07                                                      
55546,-3.7,M,=,-4.77,2,.27                                                      
55548,-3.7,M,>,-3.7,2,0                                                         
55577,-3.7,M,=,-4.04,2,.05                                                      
55589,-3.7,M,=,-3.79,2,.07                                                      
55597,-3.7,M,>,-3.7,2,0                                                         
55606,-3.7,M,>,-3.7,2,0                                                         
55619,-3.7,M,>,-3.7,2,0                                                         
55636,-3.7,M,=,-5.13,2,.01                                                      
55666,-3.7,M,>,-3.7,2,0                                                         
